ensembl_gene_id,sgd_name,mean_abundance
YKL182W,fas1,"94,906.63"
YGR234W,yhb1,"62,330.51"
YKL216W,ura1,"54,471.87"
YDR032C,pst2,"53,732.70"
YDR353W,trr1,"51,642.56"
YMR108W,ilv2,"37,533.41"
YHR179W,oye2,"37,036.05"
YEL071W,dld3,"28,560.12"
YBR035C,pdx3,"25,915.68"
YGR175C,erg1,"25,838.68"
YFL018C,lpd1,"24,993.31"
YML120C,ndi1,"21,259.18"
YGL148W,aro2,"21,116.82"
YDL171C,glt1,"16,682.72"
YCR004C,ycp4,"15,017.82"
YML086C,alo1,"14,058.29"
YIL043C,cbr1,"13,963.08"
YHR042W,ncp1,"13,890.49"
YPL091W,glr1,"13,694.58"
YPR048W,tah18,"12,797.24"
YMR145C,nde1,"12,631.87"
YJR137C,met5,"11,812.03"
YML054C,cyb2,"10,577.30"
YKL148C,sdh1,"10,165.34"
YPR004C,aim45,"9,993.11"
YML125C,pga3,"9,745.49"
YBR052C,rfs1,"9,652.34"
YDL174C,dld1,"9,348.43"
YJL045W,sdh1b,"8,958.26"
YDL178W,dld2,"7,520.51"
YGR255C,coq6,"7,480.72"
YIL155C,gut2,"7,363.39"
YGL125W,met13,"6,669.21"
YOR356W,cir2,"5,822.44"
YML130C,ero1,"5,679.61"
YER014W,hem14,"4,991.20"
YPL207W,tyw1,"4,713.95"
YPL023C,met12,"4,544.07"
YLR401C,dus3,"4,385.42"
YGR029W,erv1,"4,215.27"
YOL071W,emi5,"3,531.96"
YBL098W,bna4,"3,369.60"
YKL088W,cab3,"3,120.73"
YLR214W,fre1,"3,006.02"
YHR106W,trr2,"2,897.99"
YNR015W,dus2,"2,740.32"
YML080W,dus1,"2,670.59"
YPR037C,erv2,"2,626.70"
YNR074C,aif1,"2,512.86"
YGL205W,pox1,"2,488.91"
YLR011W,lot6,"2,340.20"
YPL171C,oye3,"2,339.79"
YLR142W,put1,"2,280.76"
YOR384W,fre5,"2,212.00"
YPL017C,irc15,"2,189.22"
YLL051C,fre6,"2,117.48"
YLR405W,dus4,"2,094.39"
YMR020W,fms1,"1,862.64"
YDL085W,nde2,"1,334.63"
YOR037W,cyc2,"1,284.41"
YNR060W,fre4,"1,140.96"
YGL160W,aim14,"1,108.62"
YGL236C,mto1,"1,016.05"
YOR386W,phr1,931.50
YLR047C,fre8,727.63
YHR176W,fmo1,531.45
YOL152W,fre7,120.35
YKL220C,fre2,0.00
YOR381W,fre3,0.00
