uniprotswissprot,ensembl_gene_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
A5Z2X5,YPR010C-A,1549.12799729544,1575.84626114297,1690.32612680768,1587.40742406243,1478.2829836141,1549.33148265668,1624.17073051863,1381.90162735928,1207.09437840506,1267.22859292842,1299.36377425069,1300.16229685097,1136.00582179,1218.37774395429,1442.0271568607,1191.89981258267,1264.41614689053,1198.99226284836,1194.2227021167,1342.1901255603,1519.4914403824,1284.68525338299,1242.26806798371,1170.01421203468,1254.68765561792,1092.93695403809,NA,1217.31885518833,1461.81101771248,1391.47425104676
D6W196,YNL083W,NA,15.630939640795,5.40432056333281,3.08453035250271,3.63903857679618,4.36499739168246,3.92650393096667,4.49569056814382,NA,NA,4.15968804960533,748.028254491082,1.67577927295123,10.3421075172694,4.15634643503751,6.88514508480999,NA,4.25548946371701,2.8295785740631,11.9081402365111,NA,NA,152.52673852552,6.11896953591371,8.51391910757097,4.13199880774415,38.7127943748698,NA,NA,12.3487185167493
O13297,YPL228W,66.4872889096178,54.4089772801106,41.076622350385,33.1131533941492,29.2565410996443,27.4063303489745,25.8056834683318,26.9565664116948,28.3778130733567,34.9044636207273,89.4712870745998,33.4191897072808,28.2453005200005,30.9507498000485,31.459999938244,38.0868799724924,30.0179377104126,36.284980183715,35.8571404248054,31.5433324929799,34.7126157979482,30.9029660231404,29.5445076537829,31.0606850612456,30.4378158649102,36.6274037375191,37.9385182116075,31.3971413454932,33.0806011758688,38.9091231224234
O13516,YPL081W,184.568728332341,197.168728510343,246.280677749576,205.78723231531,196.002916736784,217.606721094853,255.460742503168,157.624637340653,184.030314494824,182.197883169718,193.69945578215,181.415945361872,183.382549378946,213.376069517308,212.019162913202,180.436554866792,189.149522974772,181.205378163145,268.504362559294,200.703221310568,289.12716939071,256.433871924511,223.320185101047,274.610471899567,211.937857016344,203.038567292617,NA,246.021609052027,200.856688487025,210.310431612584
O13547,YLR390W-A,1.73067924374667,1.89943880443843,1.42185311026621,2.05802571570408,1.97068705160941,1.785278735768,2.61364109360403,1.7349762148144,2.03508321449329,2.43082558770223,1.37315120592925,1.38464767940002,1.82157969095562,2.11893783604156,2.26566789895612,1.75780955871706,2.35212104716858,1.98943562753011,2.00297797552382,2.08424063189596,NA,1.77899566038407,NA,2.53023447581508,2.06097174097542,2.16194533574932,NA,3.11765436585994,NA,1.93546251881337
O13563,YLR421C,211.868926215842,210.700333537747,247.566420907088,300.736547119703,234.135881551855,218.936553248402,154.202318552758,207.665677863354,218.944541774228,208.251360463198,200.556251539696,200.374094605637,211.577720150434,192.628187677937,270.957650931714,240.482463487384,210.661757157221,197.728372872224,231.395393735157,221.647363271591,217.147779135999,220.752752500131,219.885119333642,226.460311829057,189.559882376256,224.224926141972,224.426543062727,230.93845099584,226.118668520148,212.752355903723
O14455,YPL249C-A,35605.6232691728,34434.4022083213,35544.1929441461,34508.0985102426,33824.6240850347,33924.4334956477,28999.0585193742,29062.6679591693,28491.2590911407,30133.7482515934,29419.9987670713,27014.2371392667,29248.9491614748,27171.4134431664,28814.9655551527,27395.719591379,29356.6292867651,28843.2475783368,30284.0755013645,27214.7009281621,30227.1749422757,29054.9130138749,26964.1869406744,28817.3372603757,27448.8886825345,27769.6511961597,27478.8962475073,28095.4081885606,28767.950689084,29822.9240869788
O14464,YPL183W-A,33.7648217641684,268.129029691983,153.74035627847,57.903378678977,46.0265040045236,55.1746724224484,95.5123970926223,47.7719889071402,40.3101352673461,56.7714599553286,126.952898495977,42.8638291003031,53.7656286328278,42.905843472833,31.2441081057582,36.2267229059489,114.922726431554,61.955750970531,202.503656600617,57.8045784506479,63.5802788402894,77.7468390431364,42.0358948715493,38.0881640615704,231.021732556587,54.8299890135143,44.8060672368881,64.9466727984222,46.8535148145121,55.6066786049513
O14467,YOR298C-A,9221.91817844579,8887.07713343132,9021.73775630372,8978.75880385782,9035.78287624438,9465.39598290949,7414.472038253,7862.21864839777,7608.09313810744,7928.28451930591,7350.89482713773,8086.57550170945,8127.72167952003,7636.51198514227,8475.70602475451,8074.50948662218,7921.22988143529,7845.8107698881,7636.51082370432,8614.02548175842,7810.81233894955,7400.10921485373,7802.92980659508,7569.51076012768,7073.36024476825,7489.24608682319,7965.93697666722,7595.28460343143,7163.84751686555,8376.72995928632
O43137,YBR085C-A,100.507884814892,103.331709399219,85.1435393710332,90.1019247738197,114.424332948189,112.803690568934,91.5874284466854,99.1020270523573,129.196841287735,87.9938474804215,94.2433700608423,149.090095899343,113.500554846825,94.62959495814,122.560495785719,92.0316845207539,119.121857484286,108.789687589701,85.2728571893961,102.887634873031,131.954495161965,120.074354573203,108.26551919633,99.4357546130503,89.0832510801292,85.333583241422,NA,87.8833048091496,107.801141257916,122.885217287747
